GSM2533818_1	SRR5339748
GSM2533818_2	SRR5339749
GSM2533818_3	SRR5339750
GSM2533818_4	SRR5339751
GSM2533818_5	SRR5339752
GSM2533818_6	SRR5339753
GSM2533818_7	SRR5339754
GSM2533818_8	SRR5339755
GSM2533818_9	SRR5339756
GSM2533818_10	SRR5339757
GSM2533818_11	SRR5339758
GSM2533818_12	SRR5339759
GSM2533818_13	SRR5339760
GSM2533818_14	SRR5339761
GSM2533819_1	SRR5339762
GSM2533819_2	SRR5339763
GSM2533819_3	SRR5339764
GSM2533819_4	SRR5339765
GSM2533819_5	SRR5339766
GSM2533819_6	SRR5339768
GSM2533820_1	SRR5339769
GSM2533820_2	SRR5339770
GSM2533820_3	SRR5339771
GSM2533820_4	SRR5339772
GSM2533820_5	SRR5339773
GSM2533820_6	SRR5339774
GSM2533820_7	SRR5339775
GSM2533820_8	SRR5339776
GSM2533820_9	SRR5339777
GSM2533820_10	SRR5339778
GSM2533820_11	SRR5339779
GSM2533820_12	SRR5339780
GSM2533820_13	SRR5339781
GSM2533820_14	SRR5339782
GSM2533821_1	SRR5339783
GSM2533821_2	SRR5339784
GSM2533821_3	SRR5339785
GSM2533835_1	SRR5339876
GSM2533835_2	SRR5339877
GSM2533835_3	SRR5339878
GSM2533835_4	SRR5339879
GSM2533835_5	SRR5339880
GSM2533835_6	SRR5339881
GSM2533835_7	SRR5339882
GSM2533835_8	SRR5339883
GSM2533835_9	SRR5339884
GSM2533835_10	SRR5339885
GSM2533835_11	SRR5339886
GSM2533836_1	SRR5339887
GSM2533836_2	SRR5339888
GSM2533836_3	SRR5339889
GSM2533836_4	SRR5339890
GSM2533836_5	SRR5339891
GSM2533836_6	SRR5339892
GSM2533836_7	SRR5339893
GSM2533837_1	SRR5339894
GSM2533837_2	SRR5339895
GSM2533837_3	SRR5339896
GSM2533837_4	SRR5339897
GSM2533837_5	SRR5339898
GSM2533837_6	SRR5339899
GSM2533837_7	SRR5339900
GSM2533838_1	SRR5339901
GSM2533838_2	SRR5339902
GSM2533838_3	SRR5339903
GSM2533838_4	SRR5339904
GSM2533838_5	SRR5339905
GSM2533838_6	SRR5339906
GSM2533838_7	SRR5339907
GSM2533839_1	SRR5339908
GSM2533839_2	SRR5339909
GSM2533839_3	SRR5339910
GSM2533839_4	SRR5339911
GSM2533839_5	SRR5339912
GSM2533839_6	SRR5339913
GSM2533839_7	SRR5339914
GSM2533839_8	SRR5339915
GSM2533839_9	SRR5339916
GSM2533839_10	SRR5339917
GSM2533839_11	SRR5339918
GSM2533840_1	SRR5339919
GSM2533840_2	SRR5339920
GSM2533840_3	SRR5339921
GSM2533840_4	SRR5339922
GSM2533840_5	SRR5339923
GSM2533840_6	SRR5339924
GSM2533840_7	SRR5339925
GSM2533841_1	SRR5339926
GSM2533841_2	SRR5339927
GSM2533841_3	SRR5339928
GSM2533841_4	SRR5339929
GSM2533841_5	SRR5339930
GSM2533841_6	SRR5339931
GSM2533841_7	SRR5339932
GSM2533842_1	SRR5339933
GSM2533842_2	SRR5339934
GSM2533842_3	SRR5339935
GSM2533842_4	SRR5339936
GSM2533842_5	SRR5339937
GSM2533842_6	SRR5339938
GSM2533842_7	SRR5339939
