Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,sorting,strain/genotype,TISSUE,grna,strain/cell_line
SRR5339748,OTHER,98,4043978330,PRJNA378980,SAMN06564305,2011449623,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T02:58:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339749,OTHER,98,23232204968,PRJNA378980,SAMN06564305,10838745366,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T03:58:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339750,OTHER,98,4411560160,PRJNA378980,SAMN06564305,2264143695,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T03:21:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339751,OTHER,98,23146770430,PRJNA378980,SAMN06564305,11070212157,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T04:53:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339752,OTHER,98,23272875948,PRJNA378980,SAMN06564305,11130985738,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T04:59:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339753,OTHER,98,23353886374,PRJNA378980,SAMN06564305,11154569926,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T04:58:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339754,OTHER,98,25749417190,PRJNA378980,SAMN06564305,13240507119,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T04:26:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339755,OTHER,98,25699552438,PRJNA378980,SAMN06564305,13226595636,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T04:53:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339756,OTHER,98,22656849320,PRJNA378980,SAMN06564305,10669251613,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T04:53:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
SRR5339757,OTHER,98,4410857010,PRJNA378980,SAMN06564305,2170944620,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX2636666,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2017-10-23T00:00:00Z,2017-03-14T02:57:00Z,1,GSM2533818,embryonic stem cells (ES),SRP101791,GFP+/G0G1+,Oct4-GFP,embryonic stem cells (ES),,
